127.0.0.1 - - [21/Feb/2024:21:53:24 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [21/Feb/2024:21:53:24 +0530] "GET /CssCheck/InLine.html HTTP/1.1" 200 521
0:0:0:0:0:0:0:1 - - [21/Feb/2024:21:53:25 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [21/Feb/2024:22:10:27 +0530] "GET /CssCheck/Internal.html HTTP/1.1" 200 504
0:0:0:0:0:0:0:1 - - [21/Feb/2024:22:14:18 +0530] "GET /CssCheck/Internal.html HTTP/1.1" 200 480
0:0:0:0:0:0:0:1 - - [21/Feb/2024:22:14:19 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [21/Feb/2024:22:14:28 +0530] "GET /CssCheck/Internal.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Feb/2024:22:14:31 +0530] "GET /CssCheck/Internal.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Feb/2024:22:14:32 +0530] "GET /CssCheck/Internal.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Feb/2024:22:14:32 +0530] "GET /CssCheck/Internal.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Feb/2024:22:14:32 +0530] "GET /CssCheck/Internal.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Feb/2024:22:22:43 +0530] "GET /CssCheck/Internal.html HTTP/1.1" 200 731
0:0:0:0:0:0:0:1 - - [21/Feb/2024:22:22:43 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [21/Feb/2024:22:43:52 +0530] "GET /CssCheck/FileName.css HTTP/1.1" 200 484
0:0:0:0:0:0:0:1 - - [21/Feb/2024:22:43:58 +0530] "GET /CssCheck/FileName.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Feb/2024:22:44:43 +0530] "GET /CssCheck/FileName.css HTTP/1.1" 200 491
0:0:0:0:0:0:0:1 - - [21/Feb/2024:22:44:43 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [21/Feb/2024:22:50:40 +0530] "GET /CssCheck/form.html HTTP/1.1" 200 342
0:0:0:0:0:0:0:1 - - [21/Feb/2024:22:50:41 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [21/Feb/2024:22:52:08 +0530] "GET /CssCheck/form.html HTTP/1.1" 200 341
0:0:0:0:0:0:0:1 - - [21/Feb/2024:22:52:10 +0530] "GET /CssCheck/form.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Feb/2024:22:52:38 +0530] "GET /CssCheck/form.html HTTP/1.1" 304 -
